airline,src,dst,routeId,date,name_src,city_src,country_src,src_lng,src_lat,airportId_src,Covid confirmed cases_src,Monkeypox confirmed cases_src,name_dst,city_dst,country_dst,dst_lng,dst_lat,airportId_dst,Covid confirmed cases_dst,Monkeypox confirmed cases_dst,airline_name,airline_country,airlineId,flow count
4,3976,3307,2778,2022-04-21 00:00:00,Telluride,Telluride,United States,-107.90848,37.953759,3976,,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,China Eastern Airlines,China,4,1
4,3268,4000,3024,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Jinan,Jinan,China,117.215992,36.857214,4000,1927327.0,,China Eastern Airlines,China,4,1
3,5248,3285,9673,2022-04-21 00:00:00,Muren Airport,Muren,Mongolia,100.099,49.6633,5248,920332.0,,Gasa,Jinghonggasa,China,100.759611,21.973914,3285,1927327.0,,Southwest Airlines,United States,3,1
5,4034,3275,4570,2022-04-21 00:00:00,Oudomxay,Muang Xay,Laos,101.994,20.6827,4034,203545.0,,Huanghua,Changcha,China,113.219633,28.189158,3275,1927327.0,,Air China,China,5,1
3,3786,3285,9530,2022-04-21 00:00:00,Robins Afb,Macon,United States,-83.59185,32.640144,3786,,,Gasa,Jinghonggasa,China,100.759611,21.973914,3285,1927327.0,,Southwest Airlines,United States,3,1
4,1087,3273,2355,2022-04-21 00:00:00,Sao Pedro,Sao Vicente Island,Cape Verde,-25.054661,16.833689,1087,,,Wusu,Taiyuan,China,112.628428,37.746897,3273,1927327.0,,China Eastern Airlines,China,4,1
4,3039,3307,2928,2022-04-21 00:00:00,Wattay Intl,Vientiane,Laos,102.563256,17.988322,3039,203545.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,China Eastern Airlines,China,4,1
5,4011,3274,4040,2022-04-21 00:00:00,Ambouli International Airport,Djibouti,Djibouti,43.1594,11.5472,4011,15611.0,,Baiyun Intl,Guangzhou,China,113.298786,23.392436,3274,1927327.0,,Air China,China,5,1
4,4011,3277,2659,2022-04-21 00:00:00,Ambouli International Airport,Djibouti,Djibouti,43.1594,11.5472,4011,15611.0,,Wuxu,Nanning,China,108.172442,22.608267,3277,1927327.0,,China Eastern Airlines,China,4,1
5,2846,3302,4036,2022-04-21 00:00:00,Aktyubinsk,Aktyubinsk,Kazakhstan,57.206667,50.245833,2846,1394290.0,,Hotan,Hotan,China,79.864933,37.038522,3302,1927327.0,,Air China,China,5,1
3,2996,3307,9788,2022-04-21 00:00:00,Zia Intl,Dhaka,Bangladesh,90.397781,23.843333,2996,1952485.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Southwest Airlines,United States,3,1
4,3837,3307,2951,2022-04-21 00:00:00,Eleftherios Venizelos Intl,Athens,Greece,23.944467,37.936358,3837,3266368.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,China Eastern Airlines,China,4,1
3,3155,3307,9829,2022-04-21 00:00:00,Jalaluddin,Gorontalo,Indonesia,122.849858,0.637119,3155,6042595.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Southwest Airlines,United States,3,1
3,3925,3294,10017,2022-04-21 00:00:00,East 34th Street Heliport,New York,United States,-73.971944,40.7425,3925,,,Liuting,Qingdao,China,120.374436,36.266108,3294,1927327.0,,Southwest Airlines,United States,3,1
4,2917,3298,2376,2022-04-21 00:00:00,Aurangabad,Aurangabad,India,75.398114,19.862728,2917,43052425.0,,Longdongbao,Guiyang,China,106.800703,26.538522,3298,1927327.0,,China Eastern Airlines,China,4,1
5,2838,3302,4449,2022-04-21 00:00:00,Manas,Bishkek,Kyrgyzstan,74.477556,43.061306,2838,200983.0,,Hotan,Hotan,China,79.864933,37.038522,3302,1927327.0,,Air China,China,5,1
4,3268,5228,3146,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Meixian Airport,Meixian,China,116.133,24.35,5228,1927327.0,,China Eastern Airlines,China,4,1
4,3976,3298,2775,2022-04-21 00:00:00,Telluride,Telluride,United States,-107.90848,37.953759,3976,,,Longdongbao,Guiyang,China,106.800703,26.538522,3298,1927327.0,,China Eastern Airlines,China,4,1
3,503,3307,9997,2022-04-21 00:00:00,Blackbushe,Blackbushe,United Kingdom,-0.8475,51.323889,503,22082374.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Southwest Airlines,United States,3,1
3,5460,3306,9579,2022-04-21 00:00:00,Samburu South Airport,Samburu South,Kenya,37.5342,0.530583,5460,323646.0,,Hailang,Mudanjiang,China,129.568972,44.524072,3306,1927327.0,,Southwest Airlines,United States,3,1
3,5214,5241,10102,2022-04-21 00:00:00,Yam Island Airport,Yam Island,Australia,142.776,-9.90111,5214,,,Yan'an Airport,Yan'an,China,109.554,36.6369,5241,1927327.0,,Southwest Airlines,United States,3,1
3,2335,3307,10067,2022-04-21 00:00:00,Yonaguni,Yonaguni Jima,Japan,122.977778,24.466944,2335,,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Southwest Airlines,United States,3,1
3,2267,3307,10516,2022-04-21 00:00:00,Oki,Oki Island,Japan,133.324844,36.181125,2267,7531317.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Southwest Airlines,United States,3,1
5,3268,5226,4462,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Changde Airport,Changde,China,111.64,28.9189,5226,1927327.0,,Air China,China,5,1
4,2290,3307,3195,2022-04-21 00:00:00,Misawa Ab,Misawa,Japan,141.368364,40.703222,2290,7531317.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,China Eastern Airlines,China,4,1
3,1529,3307,9707,2022-04-21 00:00:00,Pratica Di Mare,Pratica Di Mare,Italy,12.445183,41.654522,1529,15934437.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Southwest Airlines,United States,3,1
3,2996,3287,9782,2022-04-21 00:00:00,Zia Intl,Dhaka,Bangladesh,90.397781,23.843333,2996,1952485.0,,Gaoqi,Xiamen,China,118.127739,24.544036,3287,,,Southwest Airlines,United States,3,1
3,4188,3282,9871,2022-04-21 00:00:00,Chumphon,Chumphon,Thailand,99.361706,10.7112,4188,4128038.0,,Zhongchuan,Lanzhou,China,103.620775,36.515242,3282,1927327.0,,Southwest Airlines,United States,3,1
4,3039,3276,2926,2022-04-21 00:00:00,Wattay Intl,Vientiane,Laos,102.563256,17.988322,3039,203545.0,,Liangjiang,Guilin,China,110.039197,25.218106,3276,1927327.0,,China Eastern Airlines,China,4,1
4,3268,5287,3139,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Qiqihar Sanjiazi Airport,Qiqihar,China,123.918131,47.239628,5287,1927327.0,,China Eastern Airlines,China,4,1
5,2996,3279,4124,2022-04-21 00:00:00,Zia Intl,Dhaka,Bangladesh,90.397781,23.843333,2996,1952485.0,,Xinzheng,Zhengzhou,China,113.840889,34.519672,3279,1927327.0,,Air China,China,5,1
4,2301,3294,2735,2022-04-21 00:00:00,Kastner Aaf,Zama,Japan,139.393675,35.513769,2301,7531317.0,,Liuting,Qingdao,China,120.374436,36.266108,3294,1927327.0,,China Eastern Airlines,China,4,1
7,3583,3926,5175,2022-04-21 00:00:00,Cincinnati Muni Lunken Fld,Cincinnati,United States,-84.418611,39.103333,3583,,,Lijiang Airport,Lijiang,China,100.23333,26.883333,3926,1927327.0,,US Airways,United States,7,1
4,3976,3298,2775,2022-04-21 00:00:00,Telluride,Telluride,United States,-107.90848,37.953759,3976,,,Longdongbao,Guiyang,China,106.800703,26.538522,3298,1927327.0,,China Eastern Airlines,China,4,1
5,3946,3285,3985,2022-04-21 00:00:00,EuroAirport Basel-Mulhouse-Freiburg,Basel,Switzerland,7.529167,47.59,3946,28266009.0,,Gasa,Jinghonggasa,China,100.759611,21.973914,3285,1927327.0,,Air China,China,5,1
4,4034,3273,3213,2022-04-21 00:00:00,Oudomxay,Muang Xay,Laos,101.994,20.6827,4034,203545.0,,Wusu,Taiyuan,China,112.628428,37.746897,3273,1927327.0,,China Eastern Airlines,China,4,1
3,3095,3307,9799,2022-04-21 00:00:00,Cha Ian,Nakhon Si Thammarat,Thailand,99.955625,8.471147,3095,4128038.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Southwest Airlines,United States,3,1
4,337,3291,2635,2022-04-21 00:00:00,Erfurt,Erfurt,Germany,10.958106,50.979811,337,24006254.0,,Lishe,Ninbo,China,121.461906,29.826683,3291,1927327.0,,China Eastern Airlines,China,4,1
4,3268,5257,3056,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Lianyungang Airport,Lianyungang,China,119.25,34.55,5257,1927327.0,,China Eastern Airlines,China,4,1
5,3786,3278,3641,2022-04-21 00:00:00,Robins Afb,Macon,United States,-83.59185,32.640144,3786,,,Baoan Intl,Shenzhen,China,113.810664,22.639258,3278,1927327.0,,Air China,China,5,1
4,3268,3289,3047,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Changle,Fuzhou,China,119.663272,25.935064,3289,1927327.0,,China Eastern Airlines,China,4,1
3,3925,3294,10017,2022-04-21 00:00:00,East 34th Street Heliport,New York,United States,-73.971944,40.7425,3925,,,Liuting,Qingdao,China,120.374436,36.266108,3294,1927327.0,,Southwest Airlines,United States,3,1
5,7442,3274,5015,2022-04-21 00:00:00,Wickenburg Municipal Airport,Wickenburg,United States,-112.7990036,33.96889877,7442,,,Baiyun Intl,Guangzhou,China,113.298786,23.392436,3274,1927327.0,,Air China,China,5,1
4,3268,3287,3068,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Gaoqi,Xiamen,China,118.127739,24.544036,3287,,,China Eastern Airlines,China,4,1
4,3999,3287,3349,2022-04-21 00:00:00,Vancouver Coal Harbour,Vancouver,Canada,-123.115833,49.289722,3999,,,Gaoqi,Xiamen,China,118.127739,24.544036,3287,,,China Eastern Airlines,China,4,1
4,2301,3294,2735,2022-04-21 00:00:00,Kastner Aaf,Zama,Japan,139.393675,35.513769,2301,7531317.0,,Liuting,Qingdao,China,120.374436,36.266108,3294,1927327.0,,China Eastern Airlines,China,4,1
4,2858,3270,2751,2022-04-21 00:00:00,Knevichi,Vladivostok,Russia,132.148017,43.398953,2858,17846818.0,,Hongyuan Airfield,Hongyuan,China,102.534785,32.800428,3270,1927327.0,,China Eastern Airlines,China,4,1
5,4034,3275,4570,2022-04-21 00:00:00,Oudomxay,Muang Xay,Laos,101.994,20.6827,4034,203545.0,,Huanghua,Changcha,China,113.219633,28.189158,3275,1927327.0,,Air China,China,5,1
5,2220,3297,4740,2022-04-21 00:00:00,Sungshan,Taipei,Taiwan,121.5525,25.069722,2220,,,Jiangbei,Chongqing,China,106.641678,29.719217,3297,1927327.0,,Air China,China,5,1
4,3999,3282,3362,2022-04-21 00:00:00,Vancouver Coal Harbour,Vancouver,Canada,-123.115833,49.289722,3999,,,Zhongchuan,Lanzhou,China,103.620775,36.515242,3282,1927327.0,,China Eastern Airlines,China,4,1
5,4267,3296,3812,2022-04-21 00:00:00,Yuzhny,Ivanovo,Russia,40.940833,56.939444,4267,17846818.0,,Laishan,Yantai,China,121.371667,37.401667,3296,1927327.0,,Air China,China,5,1
4,4188,3307,2812,2022-04-21 00:00:00,Chumphon,Chumphon,Thailand,99.361706,10.7112,4188,4128038.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,China Eastern Airlines,China,4,1
5,2996,3278,4119,2022-04-21 00:00:00,Zia Intl,Dhaka,Bangladesh,90.397781,23.843333,2996,1952485.0,,Baoan Intl,Shenzhen,China,113.810664,22.639258,3278,1927327.0,,Air China,China,5,1
5,3988,3282,4345,2022-04-21 00:00:00,Levuka Airfield,Levuka,Fiji,178.83333,-17.68333,3988,64524.0,,Zhongchuan,Lanzhou,China,103.620775,36.515242,3282,1927327.0,,Air China,China,5,1
4,3976,3307,2778,2022-04-21 00:00:00,Telluride,Telluride,United States,-107.90848,37.953759,3976,,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,China Eastern Airlines,China,4,1
5,3268,5252,4476,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Zhaotong Airport,Zhaotong,China,103.755,27.3256,5252,1927327.0,,Air China,China,5,1
3,2996,3295,9795,2022-04-21 00:00:00,Zia Intl,Dhaka,Bangladesh,90.397781,23.843333,2996,1952485.0,,Hongqiao Intl,Shanghai,China,121.336319,31.197875,3295,1927327.0,,Southwest Airlines,United States,3,1
3,7424,3307,10540,2022-04-21 00:00:00,Hohe Duene,Warnemuende,Germany,12.132082,54.181438,7424,24006254.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Southwest Airlines,United States,3,1
4,3039,3290,2924,2022-04-21 00:00:00,Wattay Intl,Vientiane,Laos,102.563256,17.988322,3039,203545.0,,Xiaoshan,Hangzhou,China,120.434453,30.229503,3290,1927327.0,,China Eastern Airlines,China,4,1
4,2219,3294,3372,2022-04-21 00:00:00,Pingtung North,Pingtung,Taiwan,120.482,22.700239,2219,,,Liuting,Qingdao,China,120.374436,36.266108,3294,1927327.0,,China Eastern Airlines,China,4,1
5,3244,3273,4357,2022-04-21 00:00:00,Melbourne Moorabbin,Melbourne,Australia,145.102222,-37.975833,3244,5613341.0,,Wusu,Taiyuan,China,112.628428,37.746897,3273,1927327.0,,Air China,China,5,1
3,2209,3279,9878,2022-04-21 00:00:00,Lyudao,Green Island,Taiwan,121.466481,22.673853,2209,,,Xinzheng,Zhengzhou,China,113.840889,34.519672,3279,1927327.0,,Southwest Airlines,United States,3,1
3,3827,3307,9612,2022-04-21 00:00:00,Adi Sumarmo Wiryokusumo,Solo City,Indonesia,110.756892,-7.516089,3827,6042595.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Southwest Airlines,United States,3,1
5,3268,3285,4475,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Gasa,Jinghonggasa,China,100.759611,21.973914,3285,1927327.0,,Air China,China,5,1
3,3922,3279,10454,2022-04-21 00:00:00,Domododevo,Moscow,Russia,37.906111,55.408611,3922,17846818.0,,Xinzheng,Zhengzhou,China,113.840889,34.519672,3279,1927327.0,,Southwest Airlines,United States,3,1
4,3268,5270,3026,2022-04-21 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,5613341.0,,Qamdo Bangda Airport,Bangda,China,97.1083,30.5536,5270,1927327.0,,China Eastern Airlines,China,4,1
4,3999,3296,3339,2022-04-21 00:00:00,Vancouver Coal Harbour,Vancouver,Canada,-123.115833,49.289722,3999,,,Laishan,Yantai,China,121.371667,37.401667,3296,1927327.0,,China Eastern Airlines,China,4,1
4,3976,3279,2782,2022-04-21 00:00:00,Telluride,Telluride,United States,-107.90848,37.953759,3976,,,Xinzheng,Zhengzhou,China,113.840889,34.519672,3279,1927327.0,,China Eastern Airlines,China,4,1
3,5214,3273,10075,2022-04-21 00:00:00,Yam Island Airport,Yam Island,Australia,142.776,-9.90111,5214,,,Wusu,Taiyuan,China,112.628428,37.746897,3273,1927327.0,,Southwest Airlines,United States,3,1
4,2269,3306,2719,2022-04-21 00:00:00,Shizuhama,Yaizu,Japan,138.298056,34.812778,2269,7531317.0,,Hailang,Mudanjiang,China,129.568972,44.524072,3306,1927327.0,,China Eastern Airlines,China,4,1
5,4034,3272,4583,2022-04-21 00:00:00,Oudomxay,Muang Xay,Laos,101.994,20.6827,4034,203545.0,,Binhai,Tianjin,China,117.346183,39.124353,3272,1927327.0,,Air China,China,5,1
4,3999,3278,3337,2022-04-21 00:00:00,Vancouver Coal Harbour,Vancouver,Canada,-123.115833,49.289722,3999,,,Baoan Intl,Shenzhen,China,113.810664,22.639258,3278,1927327.0,,China Eastern Airlines,China,4,1
4,3395,3307,2621,2022-04-21 00:00:00,Lafayette Rgnl,Lafayette,United States,-91.987611,30.205278,3395,,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,China Eastern Airlines,China,4,1
4,2220,3307,3370,2022-04-21 00:00:00,Sungshan,Taipei,Taiwan,121.5525,25.069722,2220,,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,China Eastern Airlines,China,4,1
5,4267,3272,3827,2022-04-21 00:00:00,Yuzhny,Ivanovo,Russia,40.940833,56.939444,4267,17846818.0,,Binhai,Tianjin,China,117.346183,39.124353,3272,1927327.0,,Air China,China,5,1
5,7349,3273,4196,2022-04-21 00:00:00,Magan,Yakutsk,Russia,129.3334,62.0626,7349,17846818.0,,Wusu,Taiyuan,China,112.628428,37.746897,3273,1927327.0,,Air China,China,5,1
8,3731,3926,13430,2022-04-21 00:00:00,Lubbock Preston Smith Intl,Lubbock,United States,-101.822778,33.663639,3731,,,Lijiang Airport,Lijiang,China,100.23333,26.883333,3926,1927327.0,,Delta Air Lines,United States,8,1
5,7442,3306,5016,2022-04-21 00:00:00,Wickenburg Municipal Airport,Wickenburg,United States,-112.7990036,33.96889877,7442,,,Hailang,Mudanjiang,China,129.568972,44.524072,3306,1927327.0,,Air China,China,5,1
3,3999,3298,10510,2022-04-21 00:00:00,Vancouver Coal Harbour,Vancouver,Canada,-123.115833,49.289722,3999,,,Longdongbao,Guiyang,China,106.800703,26.538522,3298,1927327.0,,Southwest Airlines,United States,3,1
4,4011,3289,2656,2022-04-21 00:00:00,Ambouli International Airport,Djibouti,Djibouti,43.1594,11.5472,4011,15611.0,,Changle,Fuzhou,China,119.663272,25.935064,3289,1927327.0,,China Eastern Airlines,China,4,1
3,2996,3289,9779,2022-04-21 00:00:00,Zia Intl,Dhaka,Bangladesh,90.397781,23.843333,2996,1952485.0,,Changle,Fuzhou,China,119.663272,25.935064,3289,1927327.0,,Southwest Airlines,United States,3,1
3,5214,5268,10090,2022-04-21 00:00:00,Yam Island Airport,Yam Island,Australia,142.776,-9.90111,5214,,,Yiwu Airport,Yiwu,China,120.032,29.3447,5268,1927327.0,,Southwest Airlines,United States,3,1
5,3222,3288,4591,2022-04-21 00:00:00,Seletar,Singapore,Singapore,103.867653,1.41695,3222,1174390.0,,Changbei Intl,Nanchang,China,115.9,28.865,3288,1927327.0,,Air China,China,5,1
4,3039,3292,2922,2022-04-21 00:00:00,Wattay Intl,Vientiane,Laos,102.563256,17.988322,3039,203545.0,,Lukou,Nanjing,China,118.862025,31.742042,3292,1927327.0,,China Eastern Airlines,China,4,1
5,3837,3307,4394,2022-04-21 00:00:00,Eleftherios Venizelos Intl,Athens,Greece,23.944467,37.936358,3837,3266368.0,,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,1927327.0,,Air China,China,5,1
