origin,destination,lon_origin,lat_origin,lon_destination,lat_destination,name_origin,name_destination,cases_origin,cases_destination,flow value,index_right,pop_est,continent,name,iso_a3,gdp_md_est
1159114253,1159114373,127.49591612468085,36.72202277666726,120.20973331809326,22.950667918346994,Cheongju Int'l,Tainan,35,98,37,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114271,1159114373,126.81083948122644,35.14000513901977,120.20973331809326,22.950667918346994,Gwangju,Tainan,96,98,70,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114289,1159114373,128.63753769993312,35.89992779690866,120.20973331809326,22.950667918346994,Daegu Int'l,Tainan,35,98,55,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114319,1159114373,129.35573104752825,35.59289575271069,120.20973331809326,22.950667918346994,Ulsan,Tainan,30,98,57,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114325,1159114373,105.17606041916142,-5.242566777131995,120.20973331809326,22.950667918346994,Radin Inten II,Tainan,27,98,93,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114341,1159114373,81.73172714621872,25.443522027820965,120.20973331809326,22.950667918346994,Allahabad,Tainan,32,98,19,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114359,1159114373,61.51225897402009,55.29779194960553,120.20973331809326,22.950667918346994,Chelyabinsk,Tainan,55,98,56,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113785,1159114393,75.95707224036518,30.850359856170176,120.63070354758395,24.26665555671146,Sahnewal,Taichung,58,4,19,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113803,1159114393,75.93305977107549,17.625415183635024,120.63070354758395,24.26665555671146,Solapur,Taichung,9,4,92,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113831,1159114393,85.3235970368767,23.317724598996193,120.63070354758395,24.26665555671146,Birsa Munda,Taichung,34,4,38,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113845,1159114393,48.74710654359313,31.343158556075725,120.63070354758395,24.26665555671146,Ahwaz,Taichung,42,4,97,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113863,1159114393,78.21721865463483,26.28548769793701,120.63070354758395,24.26665555671146,Gwalior,Taichung,87,4,95,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113883,1159114393,42.97109630194003,14.755253441372462,120.63070354758395,24.26665555671146,Hodeidah Int'l,Taichung,26,4,56,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113903,1159114393,75.8092915005895,22.72774918757095,120.63070354758395,24.26665555671146,Devi Ahilyabai Holkar Int'l,Taichung,68,4,43,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113917,1159114393,73.81056749246886,19.966020567280626,120.63070354758395,24.26665555671146,Gandhinagar,Taichung,29,4,42,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113937,1159114393,76.80172611052417,30.670724894966725,120.63070354758395,24.26665555671146,Chandigarh Int'l,Taichung,0,4,72,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113953,1159114393,75.39584329220051,19.867296962108234,120.63070354758395,24.26665555671146,Aurangabad,Taichung,59,4,97,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113971,1159114393,72.9878190922305,31.362743548086222,120.63070354758395,24.26665555671146,Faisalabad Int'l,Taichung,74,4,62,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113991,1159114393,73.3163595376585,54.95764829340594,120.63070354758395,24.26665555671146,Omsk Tsentralny,Taichung,84,4,35,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114013,1159114393,82.66715245258652,55.00958471362636,120.63070354758395,24.26665555671146,Novosibirsk Tolmachev,Taichung,55,4,51,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114037,1159114393,35.30187285752786,47.873263557902284,120.63070354758395,24.26665555671146,Zaporozhye Int'l,Taichung,27,4,40,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114047,1159114393,101.44656929844086,0.4646008729985052,120.63070354758395,24.26665555671146,Simpang Tiga,Taichung,95,4,12,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114063,1159114393,145.24398029858185,14.171771297121616,120.63070354758395,24.26665555671146,Rota Int'l,Taichung,72,4,21,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114081,1159114393,73.40849647643748,61.340167219448126,120.63070354758395,24.26665555671146,Surgut,Taichung,50,4,11,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114099,1159114393,78.7089578747476,10.76035713065535,120.63070354758395,24.26665555671146,Tiruchirappalli,Taichung,42,4,91,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114117,1159114393,63.027933351918136,25.988794590011004,120.63070354758395,24.26665555671146,Turbat Int'l,Taichung,4,4,63,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114135,1159114393,66.94873114809494,30.249043186181034,120.63070354758395,24.26665555671146,Quetta Int'l,Taichung,73,4,17,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114153,1159114393,60.90070856491495,29.475294195657344,120.63070354758395,24.26665555671146,Zahedan Int'l,Taichung,20,4,59,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114171,1159114393,112.71141861725775,-7.929980028405668,120.63070354758395,24.26665555671146,Abdul Rachman Saleh,Taichung,52,4,30,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114187,1159114393,83.55045321240377,53.3633850813046,120.63070354758395,24.26665555671146,Barnaul,Taichung,40,4,14,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114195,1159114393,75.75848284560045,31.43294223977149,120.63070354758395,24.26665555671146,Adampur,Taichung,50,4,55,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114211,1159114393,79.45200268765704,28.421808716114356,120.63070354758395,24.26665555671146,Bareilly,Taichung,30,4,89,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114231,1159114393,73.03204983920023,33.56141462788605,120.63070354758395,24.26665555671146,Dhamial,Taichung,73,4,29,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114253,1159114393,127.49591612468085,36.72202277666726,120.63070354758395,24.26665555671146,Cheongju Int'l,Taichung,35,4,5,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114271,1159114393,126.81083948122644,35.14000513901977,120.63070354758395,24.26665555671146,Gwangju,Taichung,96,4,26,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114289,1159114393,128.63753769993312,35.89992779690866,120.63070354758395,24.26665555671146,Daegu Int'l,Taichung,35,4,36,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114319,1159114393,129.35573104752825,35.59289575271069,120.63070354758395,24.26665555671146,Ulsan,Taichung,30,4,47,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114325,1159114393,105.17606041916142,-5.242566777131995,120.63070354758395,24.26665555671146,Radin Inten II,Taichung,27,4,21,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114341,1159114393,81.73172714621872,25.443522027820965,120.63070354758395,24.26665555671146,Allahabad,Taichung,32,4,67,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114359,1159114393,61.51225897402009,55.29779194960553,120.63070354758395,24.26665555671146,Chelyabinsk,Taichung,55,4,52,140,23568378.0,Asia,Taiwan,TWN,1127000
1159114373,1159114393,120.20973331809326,22.950667918346994,120.63070354758395,24.26665555671146,Tainan,Taichung,98,4,21,140,23568378.0,Asia,Taiwan,TWN,1127000
1159113785,1159115151,75.95707224036518,30.850359856170176,125.69045681299836,43.99301147957697,Sahnewal,Changchun Longjia Int'l,58,88,57,139,1397715000.0,Asia,China,CHN,14342903
1159113803,1159115151,75.93305977107549,17.625415183635024,125.69045681299836,43.99301147957697,Solapur,Changchun Longjia Int'l,9,88,65,139,1397715000.0,Asia,China,CHN,14342903
1159113831,1159115151,85.3235970368767,23.317724598996193,125.69045681299836,43.99301147957697,Birsa Munda,Changchun Longjia Int'l,34,88,80,139,1397715000.0,Asia,China,CHN,14342903
1159113845,1159115151,48.74710654359313,31.343158556075725,125.69045681299836,43.99301147957697,Ahwaz,Changchun Longjia Int'l,42,88,30,139,1397715000.0,Asia,China,CHN,14342903
1159113863,1159115151,78.21721865463483,26.28548769793701,125.69045681299836,43.99301147957697,Gwalior,Changchun Longjia Int'l,87,88,49,139,1397715000.0,Asia,China,CHN,14342903
1159113883,1159115151,42.97109630194003,14.755253441372462,125.69045681299836,43.99301147957697,Hodeidah Int'l,Changchun Longjia Int'l,26,88,58,139,1397715000.0,Asia,China,CHN,14342903
1159113903,1159115151,75.8092915005895,22.72774918757095,125.69045681299836,43.99301147957697,Devi Ahilyabai Holkar Int'l,Changchun Longjia Int'l,68,88,77,139,1397715000.0,Asia,China,CHN,14342903
1159113917,1159115151,73.81056749246886,19.966020567280626,125.69045681299836,43.99301147957697,Gandhinagar,Changchun Longjia Int'l,29,88,13,139,1397715000.0,Asia,China,CHN,14342903
1159113937,1159115151,76.80172611052417,30.670724894966725,125.69045681299836,43.99301147957697,Chandigarh Int'l,Changchun Longjia Int'l,0,88,27,139,1397715000.0,Asia,China,CHN,14342903
1159113953,1159115151,75.39584329220051,19.867296962108234,125.69045681299836,43.99301147957697,Aurangabad,Changchun Longjia Int'l,59,88,17,139,1397715000.0,Asia,China,CHN,14342903
1159113971,1159115151,72.9878190922305,31.362743548086222,125.69045681299836,43.99301147957697,Faisalabad Int'l,Changchun Longjia Int'l,74,88,49,139,1397715000.0,Asia,China,CHN,14342903
1159113991,1159115151,73.3163595376585,54.95764829340594,125.69045681299836,43.99301147957697,Omsk Tsentralny,Changchun Longjia Int'l,84,88,45,139,1397715000.0,Asia,China,CHN,14342903
1159114013,1159115151,82.66715245258652,55.00958471362636,125.69045681299836,43.99301147957697,Novosibirsk Tolmachev,Changchun Longjia Int'l,55,88,29,139,1397715000.0,Asia,China,CHN,14342903
1159114037,1159115151,35.30187285752786,47.873263557902284,125.69045681299836,43.99301147957697,Zaporozhye Int'l,Changchun Longjia Int'l,27,88,81,139,1397715000.0,Asia,China,CHN,14342903
1159114047,1159115151,101.44656929844086,0.4646008729985052,125.69045681299836,43.99301147957697,Simpang Tiga,Changchun Longjia Int'l,95,88,44,139,1397715000.0,Asia,China,CHN,14342903
1159114063,1159115151,145.24398029858185,14.171771297121616,125.69045681299836,43.99301147957697,Rota Int'l,Changchun Longjia Int'l,72,88,63,139,1397715000.0,Asia,China,CHN,14342903
1159114081,1159115151,73.40849647643748,61.340167219448126,125.69045681299836,43.99301147957697,Surgut,Changchun Longjia Int'l,50,88,30,139,1397715000.0,Asia,China,CHN,14342903
1159114099,1159115151,78.7089578747476,10.76035713065535,125.69045681299836,43.99301147957697,Tiruchirappalli,Changchun Longjia Int'l,42,88,5,139,1397715000.0,Asia,China,CHN,14342903
1159114117,1159115151,63.027933351918136,25.988794590011004,125.69045681299836,43.99301147957697,Turbat Int'l,Changchun Longjia Int'l,4,88,25,139,1397715000.0,Asia,China,CHN,14342903
1159114135,1159115151,66.94873114809494,30.249043186181034,125.69045681299836,43.99301147957697,Quetta Int'l,Changchun Longjia Int'l,73,88,70,139,1397715000.0,Asia,China,CHN,14342903
1159114153,1159115151,60.90070856491495,29.475294195657344,125.69045681299836,43.99301147957697,Zahedan Int'l,Changchun Longjia Int'l,20,88,72,139,1397715000.0,Asia,China,CHN,14342903
1159114171,1159115151,112.71141861725775,-7.929980028405668,125.69045681299836,43.99301147957697,Abdul Rachman Saleh,Changchun Longjia Int'l,52,88,42,139,1397715000.0,Asia,China,CHN,14342903
1159114187,1159115151,83.55045321240377,53.3633850813046,125.69045681299836,43.99301147957697,Barnaul,Changchun Longjia Int'l,40,88,51,139,1397715000.0,Asia,China,CHN,14342903
1159114195,1159115151,75.75848284560045,31.43294223977149,125.69045681299836,43.99301147957697,Adampur,Changchun Longjia Int'l,50,88,15,139,1397715000.0,Asia,China,CHN,14342903
1159114211,1159115151,79.45200268765704,28.421808716114356,125.69045681299836,43.99301147957697,Bareilly,Changchun Longjia Int'l,30,88,91,139,1397715000.0,Asia,China,CHN,14342903
1159114231,1159115151,73.03204983920023,33.56141462788605,125.69045681299836,43.99301147957697,Dhamial,Changchun Longjia Int'l,73,88,79,139,1397715000.0,Asia,China,CHN,14342903
1159114253,1159115151,127.49591612468085,36.72202277666726,125.69045681299836,43.99301147957697,Cheongju Int'l,Changchun Longjia Int'l,35,88,7,139,1397715000.0,Asia,China,CHN,14342903
1159114271,1159115151,126.81083948122644,35.14000513901977,125.69045681299836,43.99301147957697,Gwangju,Changchun Longjia Int'l,96,88,95,139,1397715000.0,Asia,China,CHN,14342903
1159114289,1159115151,128.63753769993312,35.89992779690866,125.69045681299836,43.99301147957697,Daegu Int'l,Changchun Longjia Int'l,35,88,53,139,1397715000.0,Asia,China,CHN,14342903
1159114319,1159115151,129.35573104752825,35.59289575271069,125.69045681299836,43.99301147957697,Ulsan,Changchun Longjia Int'l,30,88,5,139,1397715000.0,Asia,China,CHN,14342903
1159114325,1159115151,105.17606041916142,-5.242566777131995,125.69045681299836,43.99301147957697,Radin Inten II,Changchun Longjia Int'l,27,88,15,139,1397715000.0,Asia,China,CHN,14342903
1159114341,1159115151,81.73172714621872,25.443522027820965,125.69045681299836,43.99301147957697,Allahabad,Changchun Longjia Int'l,32,88,24,139,1397715000.0,Asia,China,CHN,14342903
1159114359,1159115151,61.51225897402009,55.29779194960553,125.69045681299836,43.99301147957697,Chelyabinsk,Changchun Longjia Int'l,55,88,56,139,1397715000.0,Asia,China,CHN,14342903
1159114373,1159115151,120.20973331809326,22.950667918346994,125.69045681299836,43.99301147957697,Tainan,Changchun Longjia Int'l,98,88,20,139,1397715000.0,Asia,China,CHN,14342903
1159114393,1159115151,120.63070354758395,24.26665555671146,125.69045681299836,43.99301147957697,Taichung,Changchun Longjia Int'l,4,88,65,139,1397715000.0,Asia,China,CHN,14342903
1159114411,1159115151,4.433844349628765,51.94913018993815,125.69045681299836,43.99301147957697,Rotterdam The Hague,Changchun Longjia Int'l,91,88,39,139,1397715000.0,Asia,China,CHN,14342903
1159114431,1159115151,39.22544964479734,51.81261712683441,125.69045681299836,43.99301147957697,Voronezh-Chertovitskoye,Changchun Longjia Int'l,72,88,12,139,1397715000.0,Asia,China,CHN,14342903
1159114447,1159115151,-2.858620657849379,53.336375105442215,125.69045681299836,43.99301147957697,Liverpool John Lennon,Changchun Longjia Int'l,48,88,11,139,1397715000.0,Asia,China,CHN,14342903
1159114465,1159115151,83.2235216387465,17.7279577384364,125.69045681299836,43.99301147957697,Vishakapatnam,Changchun Longjia Int'l,80,88,86,139,1397715000.0,Asia,China,CHN,14342903
1159114481,1159115151,119.54569134215063,-5.058936894557788,125.69045681299836,43.99301147957697,Sultan Hasanuddin Int'l,Changchun Longjia Int'l,86,88,87,139,1397715000.0,Asia,China,CHN,14342903
1159114497,1159115151,-173.96809394415877,-18.586005855065373,125.69045681299836,43.99301147957697,Vava'u Int'l,Changchun Longjia Int'l,36,88,53,139,1397715000.0,Asia,China,CHN,14342903
1159114519,1159115151,-1.71034578407216,55.037084860801954,125.69045681299836,43.99301147957697,Newcastle Int'l,Changchun Longjia Int'l,70,88,35,139,1397715000.0,Asia,China,CHN,14342903
1159114531,1159115151,-86.8514685020011,15.74515966591258,125.69045681299836,43.99301147957697,Goloson Int'l,Changchun Longjia Int'l,13,88,10,139,1397715000.0,Asia,China,CHN,14342903
1159114549,1159115151,39.69913595604174,24.54423396056608,125.69045681299836,43.99301147957697,Madinah Int'l,Changchun Longjia Int'l,98,88,82,139,1397715000.0,Asia,China,CHN,14342903
1159114567,1159115151,-74.02873829848139,45.68322509792671,125.69045681299836,43.99301147957697,Mirabel Int'l,Changchun Longjia Int'l,49,88,67,139,1397715000.0,Asia,China,CHN,14342903
1159114587,1159115151,21.09744639862514,55.971342623535804,125.69045681299836,43.99301147957697,Palanga Int'l,Changchun Longjia Int'l,44,88,40,139,1397715000.0,Asia,China,CHN,14342903
1159114607,1159115151,75.80101041926682,26.821179810060464,125.69045681299836,43.99301147957697,Jaipur Int'l,Changchun Longjia Int'l,33,88,62,139,1397715000.0,Asia,China,CHN,14342903
1159114623,1159115151,86.17246623637757,22.815414511024233,125.69045681299836,43.99301147957697,Sonari,Changchun Longjia Int'l,67,88,30,139,1397715000.0,Asia,China,CHN,14342903
1159114643,1159115151,29.54492,40.255539500747304,125.69045681299836,43.99301147957697,Yenisehir,Changchun Longjia Int'l,15,88,62,139,1397715000.0,Asia,China,CHN,14342903
1159114663,1159115151,35.29696142683381,36.9852090641795,125.69045681299836,43.99301147957697,Şakirpaşa,Changchun Longjia Int'l,23,88,62,139,1397715000.0,Asia,China,CHN,14342903
1159114685,1159115151,-152.4856385152345,57.74859210704827,125.69045681299836,43.99301147957697,Kodiak,Changchun Longjia Int'l,13,88,59,139,1397715000.0,Asia,China,CHN,14342903
1159114695,1159115151,-101.70535277269678,35.218403191939814,125.69045681299836,43.99301147957697,Amarillo Int'l,Changchun Longjia Int'l,11,88,78,139,1397715000.0,Asia,China,CHN,14342903
1159114713,1159115151,133.902918,-23.801968,125.69045681299836,43.99301147957697,Alice Springs,Changchun Longjia Int'l,90,88,4,139,1397715000.0,Asia,China,CHN,14342903
1159114737,1159115151,74.80715597198244,31.706822025888847,125.69045681299836,43.99301147957697,Raja Sansi Int'l,Changchun Longjia Int'l,67,88,72,139,1397715000.0,Asia,China,CHN,14342903
1159114753,1159115151,85.81688995444293,20.252665975473413,125.69045681299836,43.99301147957697,Biju Patnaik,Changchun Longjia Int'l,93,88,50,139,1397715000.0,Asia,China,CHN,14342903
1159114773,1159115151,-161.8389869594397,60.77873798340883,125.69045681299836,43.99301147957697,Bethel,Changchun Longjia Int'l,15,88,90,139,1397715000.0,Asia,China,CHN,14342903
1159114791,1159115151,-73.18092077253607,7.127709154026846,125.69045681299836,43.99301147957697,Palonegro,Changchun Longjia Int'l,85,88,89,139,1397715000.0,Asia,China,CHN,14342903
1159114807,1159115151,-86.75237736154624,33.56186728280577,125.69045681299836,43.99301147957697,Birmingham Int'l,Changchun Longjia Int'l,85,88,33,139,1397715000.0,Asia,China,CHN,14342903
1159114825,1159115151,141.47040730309726,-31.998996737463017,125.69045681299836,43.99301147957697,Broken Hill,Changchun Longjia Int'l,20,88,64,139,1397715000.0,Asia,China,CHN,14342903
1159114843,1159115151,-108.53692938812462,45.803685571527836,125.69045681299836,43.99301147957697,Logan Int'l,Changchun Longjia Int'l,22,88,41,139,1397715000.0,Asia,China,CHN,14342903
1159114861,1159115151,-100.75747130371745,46.77510666616138,125.69045681299836,43.99301147957697,Bismarck Muni.,Changchun Longjia Int'l,72,88,62,139,1397715000.0,Asia,China,CHN,14342903
1159114875,1159115151,-101.47875338246688,20.98588712119381,125.69045681299836,43.99301147957697,Del Bajio Int'l,Changchun Longjia Int'l,78,88,57,139,1397715000.0,Asia,China,CHN,14342903
1159114893,1159115151,5.6036825600670035,6.317166892078184,125.69045681299836,43.99301147957697,Benin,Changchun Longjia Int'l,66,88,54,139,1397715000.0,Asia,China,CHN,14342903
1159114899,1159115151,27.51640936629526,42.56708354877019,125.69045681299836,43.99301147957697,Bourgas,Changchun Longjia Int'l,94,88,35,139,1397715000.0,Asia,China,CHN,14342903
1159114933,1159115151,8.7858617703132,53.052287104156015,125.69045681299836,43.99301147957697,Bremen,Changchun Longjia Int'l,99,88,39,139,1397715000.0,Asia,China,CHN,14342903
1159114957,1159115151,-69.356102,10.0453,125.69045681299836,43.99301147957697,Jacinto Lara Int'l,Changchun Longjia Int'l,22,88,72,139,1397715000.0,Asia,China,CHN,14342903
1159114971,1159115151,-97.43176534023202,25.906274354534673,125.69045681299836,43.99301147957697,Brownsville-South Padre Island Int'l,Changchun Longjia Int'l,66,88,96,139,1397715000.0,Asia,China,CHN,14342903
1159114989,1159115151,-2.7108646913430845,51.38629341891484,125.69045681299836,43.99301147957697,Bristol Int'l,Changchun Longjia Int'l,81,88,24,139,1397715000.0,Asia,China,CHN,14342903
1159115003,1159115151,-91.15675440481048,30.532613804058556,125.69045681299836,43.99301147957697,Baton Rouge Metro,Changchun Longjia Int'l,13,88,75,139,1397715000.0,Asia,China,CHN,14342903
1159115025,1159115151,17.19998500222079,48.16983790625349,125.69045681299836,43.99301147957697,Bratislava-M.R. Štefánik,Changchun Longjia Int'l,78,88,83,139,1397715000.0,Asia,China,CHN,14342903
1159115045,1159115151,-73.15507877906677,44.469206604073214,125.69045681299836,43.99301147957697,Burlington Int'l,Changchun Longjia Int'l,28,88,6,139,1397715000.0,Asia,China,CHN,14342903
1159115063,1159115151,-81.10933524293772,33.934205458427535,125.69045681299836,43.99301147957697,Columbia Metro,Changchun Longjia Int'l,8,88,84,139,1397715000.0,Asia,China,CHN,14342903
1159115083,1159115151,75.95099306305104,11.1395520526064,125.69045681299836,43.99301147957697,Calicut Int'l,Changchun Longjia Int'l,98,88,9,139,1397715000.0,Asia,China,CHN,14342903
1159115105,1159115151,96.82874721442073,-12.185158595329305,125.69045681299836,43.99301147957697,Cocos (Keeling) Islands,Changchun Longjia Int'l,17,88,23,139,1397715000.0,Asia,China,CHN,14342903
1159115125,1159115151,19.914756164166214,39.60675545052586,125.69045681299836,43.99301147957697,Corfu Int'l (Ioannis Kapodistrias),Changchun Longjia Int'l,80,88,84,139,1397715000.0,Asia,China,CHN,14342903
1159113785,1159115965,75.95707224036518,30.850359856170176,117.30419701588772,31.77985767957784,Sahnewal,Hefei-Luogang,58,68,27,139,1397715000.0,Asia,China,CHN,14342903
1159113803,1159115965,75.93305977107549,17.625415183635024,117.30419701588772,31.77985767957784,Solapur,Hefei-Luogang,9,68,6,139,1397715000.0,Asia,China,CHN,14342903
1159113831,1159115965,85.3235970368767,23.317724598996193,117.30419701588772,31.77985767957784,Birsa Munda,Hefei-Luogang,34,68,79,139,1397715000.0,Asia,China,CHN,14342903
1159113845,1159115965,48.74710654359313,31.343158556075725,117.30419701588772,31.77985767957784,Ahwaz,Hefei-Luogang,42,68,85,139,1397715000.0,Asia,China,CHN,14342903
1159113863,1159115965,78.21721865463483,26.28548769793701,117.30419701588772,31.77985767957784,Gwalior,Hefei-Luogang,87,68,42,139,1397715000.0,Asia,China,CHN,14342903
1159113883,1159115965,42.97109630194003,14.755253441372462,117.30419701588772,31.77985767957784,Hodeidah Int'l,Hefei-Luogang,26,68,7,139,1397715000.0,Asia,China,CHN,14342903
1159113903,1159115965,75.8092915005895,22.72774918757095,117.30419701588772,31.77985767957784,Devi Ahilyabai Holkar Int'l,Hefei-Luogang,68,68,76,139,1397715000.0,Asia,China,CHN,14342903
1159113917,1159115965,73.81056749246886,19.966020567280626,117.30419701588772,31.77985767957784,Gandhinagar,Hefei-Luogang,29,68,94,139,1397715000.0,Asia,China,CHN,14342903
1159113937,1159115965,76.80172611052417,30.670724894966725,117.30419701588772,31.77985767957784,Chandigarh Int'l,Hefei-Luogang,0,68,64,139,1397715000.0,Asia,China,CHN,14342903
1159113953,1159115965,75.39584329220051,19.867296962108234,117.30419701588772,31.77985767957784,Aurangabad,Hefei-Luogang,59,68,33,139,1397715000.0,Asia,China,CHN,14342903
