航空公司ID,出发地ID,目的地ID,航线ID,日期,出发地机场名称,出发地城市,出发地国家,src_lng,src_lat,出发地机场ID,出发地新冠确诊病例,出发地猴痘确诊病例,目的地机场名称,目的地城市,目的地国家,dst_lng,dst_lat,目的地机场ID,目的地新冠确诊病例,目的地猴痘确诊病例,航空公司名称,航空公司国家,航空公司ID,航线流量,病例
4,2248,3307,2641,2030-01-20 00:00:00,Fukue,Fukue,Japan,128.832808,32.666269,2248,906391.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,1,906391.0
3,2248,3307,9717,2030-01-20 00:00:00,Fukue,Fukue,Japan,128.832808,32.666269,2248,3817135.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,3817135.0
3,3111,3307,9727,2030-01-20 00:00:00,Kep,Kep,Vietnam,106.261083,21.394639,3111,2457876.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,2457876.0
4,418,3307,2663,2030-01-20 00:00:00,Helsinki Malmi,Helsinki,Finland,25.042828,60.254558,418,2312731.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,1,2312731.0
3,2996,3307,9788,2030-01-20 00:00:00,Zia Intl,Dhaka,Bangladesh,90.397781,23.843333,2996,2627631.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,2627631.0
3,3629,3307,9808,2030-01-20 00:00:00,Lackland Afb Kelly Fld Annex,San Antonio,United States,-98.581108,29.384228,3629,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,0.0
5,3155,3307,4175,2030-01-20 00:00:00,Jalaluddin,Gorontalo,Indonesia,122.849858,0.637119,3155,4135360.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Air China,China,5,1,4135360.0
3,3155,3307,9829,2030-01-20 00:00:00,Jalaluddin,Gorontalo,Indonesia,122.849858,0.637119,3155,5317762.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,5317762.0
4,1673,3307,2787,2030-01-20 00:00:00,Cardak,Denizli,Turkey,29.701297,37.785567,1673,7163665.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,1,7163665.0
7,3698,3307,6009,2030-01-20 00:00:00,Kapalua,Lahania-kapalua,United States,-156.673031,20.962936,3698,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,US Airways,United States,7,2,0.0
3,3698,3307,9845,2030-01-20 00:00:00,Kapalua,Lahania-kapalua,United States,-156.673031,20.962936,3698,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,0.0
4,3884,3307,2828,2030-01-20 00:00:00,Ellinikon International Airport,Athens,Greece,23.4346,37.5354,3884,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,1,0.0
3,3884,3307,9900,2030-01-20 00:00:00,Ellinikon International Airport,Athens,Greece,23.4346,37.5354,3884,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,0.0
5,3210,3307,4278,2030-01-20 00:00:00,Sultan Ismail,Johor Bahru,Malaysia,103.669619,1.641308,3210,2545589.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Air China,China,5,1,2545589.0
3,3210,3307,9981,2030-01-20 00:00:00,Sultan Ismail,Johor Bahru,Malaysia,103.669619,1.641308,3210,3871020.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,3871020.0
9,3385,3307,1084,2030-01-20 00:00:00,Laughlin Afb,Del Rio,United States,-100.777975,29.359486,3385,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,United Airlines,United States,9,1,0.0
4,3385,3307,2888,2030-01-20 00:00:00,Laughlin Afb,Del Rio,United States,-100.777975,29.359486,3385,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,3,0.0
7,3385,3307,6111,2030-01-20 00:00:00,Laughlin Afb,Del Rio,United States,-100.777975,29.359486,3385,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,US Airways,United States,7,1,0.0
3,3385,3307,9995,2030-01-20 00:00:00,Laughlin Afb,Del Rio,United States,-100.777975,29.359486,3385,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,0.0
8,3385,3307,13122,2030-01-20 00:00:00,Laughlin Afb,Del Rio,United States,-100.777975,29.359486,3385,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Delta Air Lines,United States,8,2,0.0
6,3385,3307,15012,2030-01-20 00:00:00,Laughlin Afb,Del Rio,United States,-100.777975,29.359486,3385,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Southern Airlines,China,6,3,0.0
4,503,3307,2891,2030-01-20 00:00:00,Blackbushe,Blackbushe,United Kingdom,-0.8475,51.323889,503,5887458.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,2,5887458.0
3,503,3307,9997,2030-01-20 00:00:00,Blackbushe,Blackbushe,United Kingdom,-0.8475,51.323889,503,7292779.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,7292779.0
4,3244,3307,2917,2030-01-20 00:00:00,Melbourne Moorabbin,Melbourne,Australia,145.102222,-37.975833,3244,3014734.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,2,3014734.0
3,3244,3307,10058,2030-01-20 00:00:00,Melbourne Moorabbin,Melbourne,Australia,145.102222,-37.975833,3244,1042675.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,1042675.0
4,343,3307,2940,2030-01-20 00:00:00,Dusseldorf,Duesseldorf,Germany,6.766775,51.289453,343,5790467.0,1.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,3,5790467.0
4,1498,3307,2943,2030-01-20 00:00:00,Bresso,Milano,Italy,9.203333,45.542222,1498,4332787.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,2,4332787.0
4,3837,3307,2951,2030-01-20 00:00:00,Eleftherios Venizelos Intl,Athens,Greece,23.944467,37.936358,3837,1924047.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,1,1924047.0
5,3837,3307,4394,2030-01-20 00:00:00,Eleftherios Venizelos Intl,Athens,Greece,23.944467,37.936358,3837,525099.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Air China,China,5,3,525099.0
3,3837,3307,10130,2030-01-20 00:00:00,Eleftherios Venizelos Intl,Athens,Greece,23.944467,37.936358,3837,3199031.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,3199031.0
4,2223,3307,2991,2030-01-20 00:00:00,Hualien,Hualien,Taiwan,121.616906,24.023725,2223,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,2,0.0
7,2223,3307,6540,2030-01-20 00:00:00,Hualien,Hualien,Taiwan,121.616906,24.023725,2223,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,US Airways,United States,7,1,0.0
3,2223,3307,10188,2030-01-20 00:00:00,Hualien,Hualien,Taiwan,121.616906,24.023725,2223,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,0.0
9,3731,3307,1661,2030-01-20 00:00:00,Lubbock Preston Smith Intl,Lubbock,United States,-101.822778,33.663639,3731,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,United Airlines,United States,9,2,0.0
4,3731,3307,3004,2030-01-20 00:00:00,Lubbock Preston Smith Intl,Lubbock,United States,-101.822778,33.663639,3731,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,2,0.0
8,3731,3307,13484,2030-01-20 00:00:00,Lubbock Preston Smith Intl,Lubbock,United States,-101.822778,33.663639,3731,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Delta Air Lines,United States,8,3,0.0
6,3731,3307,15444,2030-01-20 00:00:00,Lubbock Preston Smith Intl,Lubbock,United States,-101.822778,33.663639,3731,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Southern Airlines,China,6,1,0.0
4,3268,3307,3099,2030-01-20 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,534639.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,2,534639.0
5,3268,3307,4484,2030-01-20 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,1782599.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Air China,China,5,1,1782599.0
3,3268,3307,10219,2030-01-20 00:00:00,Wagga Wagga,Wagga Wagga,Australia,147.466389,-35.165278,3268,2343406.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,2343406.0
3,2311,3307,10236,2030-01-20 00:00:00,Jinhae,Chinhae,South Korea,128.695792,35.141175,2311,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,0.0
7,3478,3307,6773,2030-01-20 00:00:00,Miami Intl,Miami,United States,-80.290556,25.79325,3478,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,US Airways,United States,7,1,0.0
3,3478,3307,10352,2030-01-20 00:00:00,Miami Intl,Miami,United States,-80.290556,25.79325,3478,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,0.0
4,3370,3307,3197,2030-01-20 00:00:00,North Perry,Hollywood,United States,-80.240722,26.001222,3370,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,3,0.0
7,3370,3307,6791,2030-01-20 00:00:00,North Perry,Hollywood,United States,-80.240722,26.001222,3370,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,US Airways,United States,7,3,0.0
3,3370,3307,10353,2030-01-20 00:00:00,North Perry,Hollywood,United States,-80.240722,26.001222,3370,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,0.0
8,3370,3307,13808,2030-01-20 00:00:00,North Perry,Hollywood,United States,-80.240722,26.001222,3370,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Delta Air Lines,United States,8,2,0.0
3,3116,3307,10354,2030-01-20 00:00:00,Phu Quoc,Phuquoc,Vietnam,103.967169,10.227025,3116,1363081.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,1363081.0
3,3222,3307,10421,2030-01-20 00:00:00,Seletar,Singapore,Singapore,103.867653,1.41695,3222,1608861.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,1608861.0
4,3265,3307,3245,2030-01-20 00:00:00,Richmond,Richmond,Australia,150.780833,-33.600556,3265,280441.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,1,280441.0
3,3265,3307,10444,2030-01-20 00:00:00,Richmond,Richmond,Australia,150.780833,-33.600556,3265,2168975.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,2168975.0
4,2220,3307,3370,2030-01-20 00:00:00,Sungshan,Taipei,Taiwan,121.5525,25.069722,2220,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,3,0.0
5,2220,3307,4743,2030-01-20 00:00:00,Sungshan,Taipei,Taiwan,121.5525,25.069722,2220,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Air China,China,5,3,0.0
3,2220,3307,10523,2030-01-20 00:00:00,Sungshan,Taipei,Taiwan,121.5525,25.069722,2220,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,0.0
4,154,3307,3595,2030-01-20 00:00:00,Norman Wells,Norman Wells,Canada,-126.798219,65.281617,154,2630335.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,3,2630335.0
3,154,3307,10741,2030-01-20 00:00:00,Norman Wells,Norman Wells,Canada,-126.798219,65.281617,154,2415765.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,2415765.0
4,191,3307,3597,2030-01-20 00:00:00,Mont Joli,Mont Joli,Canada,-68.208056,48.608612,191,3300267.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,1,3300267.0
3,3182,3307,9564,2030-01-20 00:00:00,Pinang Kampai,Dumai,Indonesia,101.433558,1.609194,3182,3693107.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,3693107.0
5,4267,3307,3823,2030-01-20 00:00:00,Yuzhny,Ivanovo,Russia,40.940833,56.939444,4267,7543558.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Air China,China,5,3,7543558.0
3,4267,3307,9576,2030-01-20 00:00:00,Yuzhny,Ivanovo,Russia,40.940833,56.939444,4267,7265397.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,7265397.0
3,3827,3307,9612,2030-01-20 00:00:00,Adi Sumarmo Wiryokusumo,Solo City,Indonesia,110.756892,-7.516089,3827,3882040.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,3882040.0
5,4011,3307,4048,2030-01-20 00:00:00,Ambouli International Airport,Djibouti,Djibouti,43.1594,11.5472,4011,723087.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Air China,China,5,3,723087.0
3,4011,3307,9725,2030-01-20 00:00:00,Ambouli International Airport,Djibouti,Djibouti,43.1594,11.5472,4011,2533037.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,2533037.0
3,2269,3307,9777,2030-01-20 00:00:00,Shizuhama,Yaizu,Japan,138.298056,34.812778,2269,1800058.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,1800058.0
3,3095,3307,9799,2030-01-20 00:00:00,Cha Ian,Nakhon Si Thammarat,Thailand,99.955625,8.471147,3095,2320632.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,2320632.0
4,3976,3307,2778,2030-01-20 00:00:00,Telluride,Telluride,United States,-107.90848,37.953759,3976,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,1,0.0
3,3976,3307,9839,2030-01-20 00:00:00,Telluride,Telluride,United States,-107.90848,37.953759,3976,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,0.0
4,4188,3307,2812,2030-01-20 00:00:00,Chumphon,Chumphon,Thailand,99.361706,10.7112,4188,1115262.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,1,1115262.0
3,4188,3307,9870,2030-01-20 00:00:00,Chumphon,Chumphon,Thailand,99.361706,10.7112,4188,2156160.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,2156160.0
5,4221,3307,4356,2030-01-20 00:00:00,Ust-Ilimsk,Ust Ilimsk,Russia,102.566,58.135,4221,6644708.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Air China,China,5,1,6644708.0
4,3039,3307,2928,2030-01-20 00:00:00,Wattay Intl,Vientiane,Laos,102.563256,17.988322,3039,454768.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,2,454768.0
3,3039,3307,10062,2030-01-20 00:00:00,Wattay Intl,Vientiane,Laos,102.563256,17.988322,3039,2955233.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,2955233.0
3,2335,3307,10067,2030-01-20 00:00:00,Yonaguni,Yonaguni Jima,Japan,122.977778,24.466944,2335,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,0.0
3,4079,3307,10068,2030-01-20 00:00:00,Dhangarhi,Dhangarhi,Nepal,80.581944,28.753333,4079,1977008.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,1977008.0
3,2322,3307,10191,2030-01-20 00:00:00,Yecheon,Yechon,South Korea,128.35485,36.631933,2322,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,0.0
3,2954,3307,10348,2030-01-20 00:00:00,Phnom Penh Intl,Phnom-penh,Cambodia,104.844139,11.546556,2954,1303536.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,1303536.0
4,2290,3307,3195,2030-01-20 00:00:00,Misawa Ab,Misawa,Japan,141.368364,40.703222,2290,1418023.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,China Eastern Airlines,China,4,1,1418023.0
5,4034,3307,4578,2030-01-20 00:00:00,Oudomxay,Muang Xay,Laos,101.994,20.6827,4034,1043230.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Air China,China,5,3,1043230.0
3,4034,3307,10411,2030-01-20 00:00:00,Oudomxay,Muang Xay,Laos,101.994,20.6827,4034,270347.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,270347.0
3,2905,3307,10438,2030-01-20 00:00:00,Bryansk,Bryansk,Russia,34.176447,53.214194,2905,6275202.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,6275202.0
5,3922,3307,4631,2030-01-20 00:00:00,Domododevo,Moscow,Russia,37.906111,55.408611,3922,8251471.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Air China,China,5,1,8251471.0
3,3922,3307,10452,2030-01-20 00:00:00,Domododevo,Moscow,Russia,37.906111,55.408611,3922,6696022.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,6696022.0
3,2320,3307,10469,2030-01-20 00:00:00,Pohang,Pohang,South Korea,129.420486,35.987858,2320,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,0.0
3,3999,3307,10513,2030-01-20 00:00:00,Vancouver Coal Harbour,Vancouver,Canada,-123.115833,49.289722,3999,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,0.0
3,2309,3307,9591,2030-01-20 00:00:00,Macomb Municipal Airport,Macomb,United States,-90.6523889,40.5200833,2309,0.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,0.0
3,3830,3307,9691,2030-01-20 00:00:00,Nakhon Si Thammarat,Nakhon Si Thammarat,Thailand,99.944725,8.539617,3830,1944904.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,1944904.0
3,6978,3307,9728,2030-01-20 00:00:00,Yarram,Yarram,Australia,146.75,-38.56,6978,1801548.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,1801548.0
3,2267,3307,10516,2030-01-20 00:00:00,Oki,Oki Island,Japan,133.324844,36.181125,2267,1159957.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,1159957.0
3,5347,3307,9715,2030-01-20 00:00:00,Sharya,Sharya,Russia,45.3314,58.2321,5347,8639823.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,8639823.0
3,2265,3307,9975,2030-01-20 00:00:00,Hamamatsu,Hamamatsu,Japan,137.703083,34.750239,2265,3332522.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,3332522.0
3,2250,3307,9976,2030-01-20 00:00:00,New Tanegashima,Tanegashima,Japan,130.991231,30.605067,2250,2569198.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,3,2569198.0
3,2276,3307,10069,2030-01-20 00:00:00,Kochi,Kochi,Japan,133.669444,33.546111,2276,1646338.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,1,1646338.0
3,2256,3307,10134,2030-01-20 00:00:00,Kumamoto,Kumamoto,Japan,130.85505,32.837319,2256,1751132.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,1751132.0
3,2270,3307,10192,2030-01-20 00:00:00,Hiroshima,Hiroshima,Japan,132.919444,34.436111,2270,3843301.0,0.0,Zhoushuizi,Dalian,China,121.5386,38.965667,3307,114489.0,0.0,Southwest Airlines,United States,3,2,3843301.0
